Number,SMILEs,MW,FSP3,Cm
1,CCCC(CC(=C)C)(*)C(=O)OCC,183.27099999999996,0.7272727272727273,166.12448484844217
2,COC(C*)CNC(=O)C1=CC(=C(C(=C1F)F)F)F,264.198,0.36363636363636365,285.0605116145487
3,C1=CC(=C(C(=C1C(C*)C(F)(F)F)F)F)F,227.12699999999992,0.3333333333333333,178.73052914984518
4,CC1=CC=C(C=C1)CN2CC3(CCN(CC3)C(=O)CC(C)(C)C*)OC2=O,357.4740000000001,0.6190476190476191,275.70316580885435
5,CC1=C(C=C(C=C1)C(C)(C)F)C(C*)C2CC2,219.32299999999995,0.6,143.41889469832662
6,CC(CNC(=O)N1CCCC1C*)S(=O)C,231.34099999999998,0.9,304.7227158175081
7,CN1C=C(C=N1)NC(=O)C2=CC3=C(C=C2)OCC[C@]34C[C@H]4C(=O)NC5=C(C=CC(=C5)C#N)CCC*,468.53700000000026,0.3333333333333333,492.9615467750358
8,CN(CCC*)CC1=C(C(=CC(=C1)N)OC)OC,237.32299999999998,0.5384615384615384,214.71945961619494
9,CCCCCCCCCCC#CCOCC1=CC=C(C=C1)CC*,313.50500000000005,0.6363636363636364,164.29440984988446
10,CCC(CC)CC(=O)NC(C)(C*)COC,214.32899999999995,0.9166666666666666,191.58212222943388
11,C1=CC(=C(C(=C1)Cl)Cl)NC(=O)/C(=C\\NCCCCC*)/C#N,325.21900000000016,0.3333333333333333,272.25288549131545
12,C1CN(C(=O)C(N1C2=CC=C(C=C2)I)C*)C3=CC=C(C=C3)I,517.1280000000002,0.23529411764705882,278.59599169551353
13,C1CCC(CC1)CNCCCCC*,182.33099999999996,1.0,95.07234722510697
14,C1=CC(=C(C=C1CC*)O)OC2C(C(C(C(O2)COC(=O)C=CC3=CC(=C(C=C3)O)O)O)O)O,461.44300000000015,0.34782608695652173,533.2808849176731
15,CCCN1C(=C(C2=C1C=CC(=C2)OC)C(=O)NC(COCC=C)*)C,329.42000000000013,0.42105263157894735,356.40241582327747
16,CC1=NOC(=C1)CNC(=O)NC(CC*)CC2=CC=CC=C2,286.35499999999996,0.375,282.4254656963365
17,C1CC(CCC1C*)OC2CCN(CC2)C3=NC=C(C=C3)C4=NNC(=N4)CC5=CC=CC=C5,430.5760000000001,0.5,339.7164342771992
18,CC(C)[C@@H](C(=O)NC(C*)C(=O)CF)NC(=O)OCC1=CC(=C(C=C1)F)F,373.35100000000006,0.47058823529411764,393.60268916584835
19,CCCCCC(C=CC1C(CC(=O)C1CCCCCC*)O)OC(=O)C,351.50700000000006,0.8095238095238095,306.86283488017307
20,C[C@]([C@H]1CCC2=C(O1)C=CC(=C2)Br)(*)ON,271.134,0.45454545454545453,286.2522258981976
21,CCN1C(=NN=N1)C2=CC(=CC=C2)NC(=O)N(C)CC*,273.3200000000001,0.38461538461538464,270.88985914304664
22,CC(C)(CC*)NC(=O)NC1=CC=CC=C1CC(F)(F)F,287.305,0.5,214.46182437659854
23,CC1=CC=CC=C1N2C(=C(C=N2)C(=O)N3CCC(C3)(COC)*)C,312.3930000000001,0.4444444444444444,354.6542843868324
24,C1=CC(=CC(=C1)O)C2=NC(=CC(=C2)C3=C(C=CC(=C3)F)F)NCCC*,339.3650000000001,0.15,301.45865430875233
25,C1=CC=C(C=C1)OCCOC2=C(C=C(C=C2)CC*)N,256.325,0.25,196.37285354759192
26,CC(C)[C@@H](C(=O)C[C@@H](CC*)C(=O)C(C)C)NCCCC(=O)COC1CCCCCC#C1,432.6250000000004,0.8076923076923077,358.6407722553956
27,CC(C)(C)OC(=O)NC(CC*)N1C(C(CCC1=O)(F)F)O,307.31699999999995,0.8461538461538461,334.3569756702773
28,CC12CCC3C(C1CCC2OC4C(C(C(C(O4)*)O)O)O)CCC5=CC(=O)C=CC35C,417.5220000000002,0.7916666666666666,562.6402849292117
29,C1=CC(=NC(=C1)NCCCC*)C(F)(F)F,217.21399999999994,0.5,164.46182437659849
30,C[C@H]1C[C@H]2[C@@H]3C[C@H](C4=CC(=O)C(=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)C(C*)O)O)C)Cl)Cl)C)Br)F,537.2730000000001,0.7391304347826086,572.6810742681721
31,CCCC(CCC(*)C(=O)OC(C)(C)C)N,214.32899999999998,0.9166666666666666,186.80744105552466
32,C1=CC(=CC(=C1)Cl)C(COC2=CC=C(C=C2)CC3C(=O)NC(S3)O)OC(=O)CC*,434.92100000000016,0.3333333333333333,458.14420712403034
33,CC(=CC[C@@](C*)(C(=O)OP=C=C=C)O)C,225.20399999999998,0.45454545454545453,213.07560342642023
34,CCCCCCCCCCCCCC(=O)OC(COC1C(C(C(C(O1)*)O)O)OC(=O)CCCCCCC/C=C\\CCCC)COC(=O)CC/C=C\\C/C=C\\C/C=C\\C/C=C\\C/C=C\\C/C=C\\CC,952.3879999999995,0.7068965517241379,771.1696099421919
35,C1CN(CCN1CCCC*)C(=O)C2=C(C=CC=C2F)F,281.32599999999996,0.5333333333333333,188.40935695670433
36,CC1=C(C(=NO1)C)S(=O)(=O)NCCC(C)(C)CC*,273.37800000000004,0.75,246.68687200151362
37,C1CCC(CC1)CCC(=O)N[C@H](C*)C(=O)NCCC2=CC(=C(C=C2)O)O,361.4620000000001,0.6,317.5690846234065
38,C1CC(CCC1C*)C2=NC3=C(C=NN3C(=C2C4=CC=NC=C4)N)C5=CC6=CC=CC=C6N=C5,433.53900000000016,0.25925925925925924,379.11517796913745
39,CC1(CCCCC1*)NC(=O)CC2=CC3=C(CCC3)C=C2,270.39599999999996,0.6111111111111112,276.6016722380878
40,C1CN(CCC1OCC*)C(=O)NC2CCOC2,241.31099999999995,0.9166666666666666,250.07885962773344
41,CN(C)C(=O)/C(=C/C1=CC=CC(=C1)CCC*)/C#N,241.31399999999994,0.3333333333333333,188.07560342642017
42,C1=CC(=CC=C1C2=NN(C=C2C=O)CC*)Br,278.12899999999996,0.16666666666666666,184.48780065441176
43,CCC=CCC=CCC=CCC=CCC=CCC=CCC1C(O1)OCC(C)(C)C(C(=O)NCC*)O,484.7010000000003,0.5666666666666667,405.0197222755879
44,COC1CN(CC1OC)C(=O)C(CC*)N,215.27299999999994,0.9,203.4350034379587
45,C[C@@H]1CC(OC2C1[C@]3(CCC45C[C@@]46CC[C@@H](C([C@@H]6CC[C@H]5C3([C@H]2O)C)(C)C)O)C)CC*,429.6650000000002,1.0,502.41170990180774
46,CC1=CC(=C(C(=C1CN(C)CC*)C)C)OC,220.33599999999996,0.5714285714285714,172.56582842209323
47,COC1=CC(=CC=C1)S(=O)(=O)N2C3=C(C=C(C=C3)Cl)C=C2CC*,348.8310000000001,0.17647058823529413,322.2801600732265
48,CCOC(=O)N(CC*)C1CCCCC1,198.28599999999994,0.9090909090909091,153.90567842497788
49,CCN(CC#C)C(=O)NC1COCC1(C)*,209.26899999999995,0.7272727272727273,270.45805331101775
50,C(N=C(N)N)OC(=O)C(*)N,145.142,0.5,174.5690846234065
