Number,SMILEs,NumAtoms,MW,FSP3,Cm
1,CCCCCCCCCCCCCCCCC*,18,239.4669999999999,1.0,109.61470984411521
2,CCCCCCCC/C=C\CCCCCCC*,18,237.4509999999999,0.8823529411764706,111.95455984699984
3,CCCCCCCCCCCCCCC*,16,211.41299999999993,1.0,97.61470984411521
4,CCCCC/C=C\C/C=C\CCCCCCC*,18,235.4349999999999,0.7647058823529411,114.29440984988447
5,NCCC*,5,58.10399999999999,1.0,40.258566033889934
6,CC*,3,29.061999999999998,1.0,19.614709844115207
7,CCCCCCCCCCCCC*,14,183.35899999999995,1.0,85.61470984411521
8,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCC*,20,259.457,0.5789473684210527,130.9741098556537
9,CCC*,4,43.08899999999999,1.0,25.614709844115207
10,CC/C=C\C/C=C\C/C=C\CCCCCCC*,18,233.4189999999999,0.6470588235294118,116.63425985276909
11,*CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,14,199.299,0.8888888888888888,260.7585596335027
12,CCCCCCCCCCC*,12,155.30499999999998,1.0,73.61470984411521
13,CCCCCC(C*)c1ccccc1,14,175.29500000000002,0.5384615384615384,91.0492973520479
14,CCc1[nH]c2ccccc2c1C*,13,158.22399999999993,0.2727272727272727,139.58212222943388
15,C=C[C@@]1(C)CC[C@H]2[C@@](C)(CC[C@@]3(C)[C@@H]4CC(C)(C)CC[C@]4(C)CC[C@]23C)[C@@H]1CC*,30,397.7110000000003,0.9310344827586207,336.31395985853834
16,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCC*,22,291.45500000000004,0.7368421052631579,224.6733598700768
17,*CCCC1=CCCC1,9,109.192,0.75,66.78463484555752
18,CCOC(=O)C(=O)CCCC*,12,157.18899999999996,0.75,126.29440984988446
19,CCC1=C(C*)COC1=O,10,125.14699999999998,0.5714285714285714,107.12448484844215
20,CCOC(C)C*,7,87.14200000000001,1.0,90.97410985565371
21,*Cc1ccc(-c2ccccc2)o1,13,157.19199999999998,0.09090909090909091,120.21922235349021
22,*CCN(Cc1ccccc1)Cc1ccccc1,18,224.32699999999997,0.25,97.50693473303967
23,CCCCSC(=O)C*,9,131.21999999999997,0.8333333333333334,101.12448484844214
24,C#CC#CCC*,7,77.106,0.3333333333333333,51.199672344836365
25,CCC#CCCCCCCC*,12,151.27299999999997,0.8181818181818182,77.61470984411521
26,CCCCC#CCCCCC*,12,151.27299999999997,0.8181818181818182,77.61470984411521
27,*CCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,22,279.3190000000001,0.17647058823529413,216.9482783066909
28,COc1ccc(C=C2SC(=S)N(CCC*)C2=O)cc1OC,22,322.43100000000004,0.3333333333333333,309.0951534350741
29,CC(CCOc1ccc(Cl)cc1)C[C@H](CN)C*,18,254.78099999999995,0.5714285714285714,169.57252589242825
30,CC(CCOc1ccc(F)cc1)C[C@H](CN)C*,18,238.32599999999994,0.5714285714285714,169.57252589242825
31,CC(CCOc1ccccc1Cl)C[C@H](CN)C*,18,254.78099999999995,0.5714285714285714,199.91237589531286
32,CC(CCOc1cccc(Cl)c1)C[C@H](CN)C*,18,254.78099999999995,0.5714285714285714,199.9123758953129
33,CC/C=C/C(C)C[C@H](CN)C*,12,154.27699999999996,0.8,107.61796604542843
34,CC(CCCC1CC1)C[C@H](CN)C*,14,182.331,1.0,116.44804104398614
35,CC(CCC1CCCCC1)C[C@H](CN)C*,16,210.38499999999996,1.0,119.44804104398614
36,CC(CCC1CCCC1)C[C@H](CN)C*,15,196.35799999999998,1.0,116.44804104398614
37,CC(CCOc1ccccc1[N+](=O)[O-])C[C@H](CN)C*,20,265.33299999999997,0.5714285714285714,226.56908462340644
