Number,SMILEs,NumAtoms,MW,FSP3,Cm
1,*C(F)(F)F,0.046153846153846156,0.06247223134429274,1.0,0.03543306024067623
2,*c1ccccc1,0.07692307692307693,0.07167750520147406,0.0,0.037306497358811835
3,Cc1ccc(*)cc1,0.09230769230769231,0.08761657153830688,0.1428571428571428,0.045303960316839975
4,*CO,0.015384615384615385,0.019325279902367973,1.0,0.02389865454791921
5,C=Cc1ccc(*)cc1,0.1076923076923077,0.10126483030865682,0.0,0.0554891965802676
6,C=C/C=C\*,0.046153846153846156,0.044380987660774154,0.0,0.03450757310621435
7,C*,0.0,0.0011454037832414263,1.0,0.0
8,CO[C@H](c1ncc(C)cn1)[C@H](C)*,0.16923076923076924,0.17179806804016648,0.5555555555555556,0.19740635468131507
9,C/C(=C(/C)*)c1ncc(C)cn1,0.15384615384615385,0.1513273843545571,0.3333333333333333,0.11465341768929158
10,*C(F)(F)C(F)(F)OC(F)(F)C(F)(F)*,0.2,0.22953528195909512,1.0,0.12171128022838673
11,CCCCCCCCCCCCCCCCOC(=O)c1cc(C(=O)OCCCCCCCCCCCCCCCC)cc(*)c1,0.6615384615384615,0.6817436499973302,0.8,0.22223798929956615
12,O=C(O)C(O)*,0.06153846153846154,0.06933329091097104,0.5,0.1272095327191285
13,*c1ccc(Cl)cc1,0.09230769230769231,0.11081781602860788,0.0,0.05978372162096303
14,CC(NC(C)*)*,0.07692307692307693,0.06487894286503215,1.0,0.08623643344566521
15,*C(F)(F)C(F)(F)OC(F)(F)C(F)(F)I,0.2,0.373737982066704,1.0,0.2274101131133879
16,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.36923076923076925,0.4602375576536951,1.0,0.29885906000443874
17,CC(N)*,0.03076923076923077,0.034146213974607965,1.0,0.08374308466666674
18,*CNC*,0.046153846153846156,0.033000810191366546,1.0,0.0257361668122974
19,*CN(C*)C*,0.07692307692307693,0.047794472744957926,1.0,0.04191460933828735
20,CC(N(C(C)*)C(C)*)*,0.12307692307692308,0.09561167175545635,1.0,0.13266500928833896
21,CC*,0.015384615384615385,0.01708447012007424,1.0,0.012466743894992348
22,*Cc1ccccc1,0.09230769230769231,0.08761657153830685,0.1428571428571428,0.042293194916808774
23,C=CC(C)=C*,0.06153846153846154,0.06032005399760695,0.2,0.04302245268527524
24,*C(Cl)(Cl)Cl,0.046153846153846156,0.11856633626464289,1.0,0.03543306024067623
25,COc1ccc(*)cc1,0.1076923076923077,0.1057964476574334,0.1428571428571428,0.07564782795968908
26,O=C(O)c1ccc(*)cc1,0.12307692307692308,0.12168551621007709,0.0,0.08811457185468143
27,*C(CS(=O)(=O)O)OCCO,0.13846153846153847,0.1763001412437404,1.0,0.2002702775736539
28,CC(=O)Nc1ccc(*)cc1,0.13846153846153847,0.1365064502823171,0.125,0.12566164604735086
29,*C(F)(F)C(F)(F)F,0.09230769230769231,0.11929584938849308,1.0,0.07733965811378245
30,*C(F)(F)C(F)(F)C(F)(F)F,0.13846153846153847,0.17611946743269338,1.0,0.1142595584288918
31,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.18461538461538463,0.2329430854768937,1.0,0.15117945874400107
32,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.27692307692307694,0.3465903215652944,1.0,0.2250192593742196
