Number,SMILES,MW,FSP3,Cm
1,CC(C)(C)S(=O)C(C)(C)C,162.29799999999997,1.0,53.16992500144224
2,CNCCCC1(c2ccccc2)c2ccccc2C(C)(C)S1=O,327.49300000000005,0.4,289.0621498903669
3,CN(C)CCCC1(c2ccccc2)c2ccccc2C(C)(C)S1=O,341.5200000000001,0.42857142857142855,291.40199989325157
4,CN(C)CCCC1(C(N)=O)c2ccccc2C(C)(C)S1=O,308.44700000000006,0.5625,313.29096858086274
5,CCOC(=O)C1(CCCN(C)C)c2ccccc2C(C)(C)S1=O,337.48500000000007,0.6111111111111112,324.98696239397265
6,COC(=O)C1(CCCN(C)C)c2ccccc2C(C)(C)S1=O,323.4580000000001,0.5882352941176471,314.98696239397265
7,CN(C)CCCC1(C(=O)Nc2ccccc2)c2ccccc2C(C)(C)S1=O,384.54500000000013,0.4090909090909091,355.85963727424337
8,CC(=O)C1(CCCN(C)C)c2ccccc2C(C)(C)S1=O,307.45900000000006,0.5882352941176471,298.647112391088
9,CCN(CC)CCCC1(c2ccccc2)c2ccccc2C(C)(C)S1=O,369.5740000000002,0.4782608695652174,301.40199989325157
10,CC12CCC(CC1)C(C)(C)S2=O,186.32,1.0,181.50977500432697
11,CC1(C)CC(=O)CC(C)(C)S1=O,188.292,0.8888888888888888,88.33985000288469
12,CC1(C)CC2=C(CC(C)(C)S1=O)C1=C2CC(C)(C)S(=O)C(C)(C)C1,368.6080000000001,0.8,139.16992500144215
13,CC1(C)CC=CCC(C)(C)S1=O,186.32,0.8,96.33985000288466
14,CC(C)(CCl)S(=O)C(C)(C)CCl,231.188,1.0,76.78463484555759
15,CN(C)CCC1(c2ccccc2)c2ccccc2C(C)(C)S1=O,327.49300000000005,0.4,285.40199989325157
16,CC(C)(C(N)C(=O)O)S(=O)C(c1ccccc1)(c1ccccc1)c1ccccc1,407.5350000000001,0.20833333333333334,265.5701749624923
17,CCC1(C)C=CCC(C)(C)S1=O,186.31999999999996,0.8,199.50977500432694
18,CN(C)CCCC1(c2ccccc2)c2cc(Cl)ccc2C(C)(C)S1=O,375.96500000000015,0.42857142857142855,313.8467847359245
19,O=S1C(c2ccccc2)(c2ccccc2)c2ccccc2C1(c1ccccc1)c1ccccc1,456.6100000000001,0.0625,162.0391000173088
20,CN(C)CCCC1(c2cccc(Cl)c2)c2ccccc2C(C)(C)S1=O,375.96500000000015,0.42857142857142855,335.7715972395302
21,CCC(C)(C)S(=O)C(C)(C)C,176.32499999999996,1.0,132.16992500144232
22,CCC(C)(C)S(=O)C(C)(C)CC,190.35199999999995,1.0,67.16992500144237
23,CC1(C)CCCC(C)(C)S1=O,174.309,1.0,68.16992500144237
24,CC(=O)OC1C(C)=CC(C)(S(=O)C(C)(C)C)C(OC(C)=O)N1C(C)=O,373.4710000000001,0.7058823529411765,478.02931861259367
25,Cc1ccc(C2(c3ccccc3)CC(=O)CC(C)(C)S2=O)cc1,326.46099999999996,0.35,270.6045125093753
26,Cc1ccc([C@@]2(c3ccccc3)CC(=O)CC(C)(C)S2=O)cc1,326.46099999999996,0.35,270.6045125093753
27,Cc1ccc([C@]2(c3ccccc3)CC(=O)CC(C)(C)S2=O)cc1,326.46099999999996,0.35,270.6045125093753
28,CC(C)(C)S(=O)C1(C#N)CC1(C#N)S(=O)C(C)(C)C,300.449,0.8461538461538461,191.98370619265978
29,CC(C)(C)CC(C)(C)CC(C)(C)S(=O)C(C)(C)CC(C)(C)CC(C)(C)C,386.73000000000025,1.0,101.1699250014424
30,C=C1CC2(CC(C)(C)S(=O)C(C)(C)C2)OC1=O,256.36699999999996,0.7692307692307693,203.67970000576915
31,CC(=O)CC(C#N)(S(=O)C(C)(C)C)C(C#N)(CC(C)=O)S(=O)C(C)(C)C,400.56600000000014,0.7777777777777778,228.15363119410213
