Number,SMILEs,NumAtoms,MW,FSP3,Bottcher
1,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(S3(=O))cc2)c(O)c1.CCCCCCCCCCCCCCCCC3,59,832.2489999999991,0.6,633.2616371674945
2,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(S3(=O))cc2)c(O)c1.CCCCCCCC/C=C\CCCCCCC3,59,830.2329999999993,0.56,635.6014871703791
3,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(S3(=O))cc2)c(O)c1.CCCCCCCCCCCCCCC3,57,804.1949999999993,0.5833333333333334,621.2616371674945
4,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(S3(=O))cc2)c(O)c1.CCCCC/C=C\C/C=C\CCCCCCC3,59,828.2169999999994,0.52,637.9413371732636
5,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(S3(=O))cc2)c(O)c1.NCCC3,46,650.886,0.4444444444444444,563.9054933572693
6,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(S3(=O))cc2)c(O)c1.CC3,44,621.8440000000002,0.42857142857142855,543.2616371674945
7,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(S3(=O))cc2)c(O)c1.CCCCCCCCCCCCC3,55,776.1409999999994,0.5652173913043478,609.2616371674945
8,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(S3(=O))cc2)c(O)c1.CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCC3,61,852.2389999999996,0.46153846153846156,654.6210371790327
9,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(S3(=O))cc2)c(O)c1.CCC3,45,635.8710000000001,0.4444444444444444,549.2616371674945
10,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(S3(=O))cc2)c(O)c1.CC/C=C\C/C=C\C/C=C\CCCCCCC3,59,826.2009999999996,0.48,640.2811871761481
11,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(S3(=O))cc2)c(O)c1.C3CCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,55,792.0809999999999,0.5,784.4054869568822
12,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(S3(=O))cc2)c(O)c1.CCCCCCCCCCC3,53,748.0869999999995,0.5454545454545454,597.2616371674945
13,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(S3(=O))cc2)c(O)c1.CCCCCC(C3)c1ccccc1,55,768.0769999999999,0.43478260869565216,614.696224675427
14,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(S3(=O))cc2)c(O)c1.CCc1[nH]c2ccccc2c1C3,54,751.006,0.36363636363636365,663.2290495528131
15,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(S5(=O))cc2)c(O)c1.C=C[C@@]1(C)CC[C@H]2[C@@](C)(CC[C@@]3(C)[C@@H]4CC(C)(C)CC[C@]4(C)CC[C@]23C)[C@@H]1CC5,71,990.492999999999,0.6451612903225806,859.9608871819175
16,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(S3(=O))cc2)c(O)c1.CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCC3,63,884.2369999999996,0.5192307692307693,748.3202871934559
17,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(S3(=O))cc2)c(O)c1.C3CCC1=CCCC1,50,701.9739999999998,0.4634146341463415,590.4315621689368
18,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(S3(=O))cc2)c(O)c1.CCOC(=O)C(=O)CCCC3,53,749.9709999999999,0.4634146341463415,649.9413371732637
19,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(S3(=O))cc2)c(O)c1.CCC1=C(C3)COC1=O,51,717.929,0.425,630.7714121718215
20,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)Nc2ccc(S3(=O))cc2)c(O)c1.CCOC(C)C3,48,679.9240000000001,0.47368421052631576,614.621037179033
