Number,SMILEs,NumAtoms,MW,FSP3,Cm
1,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,24,345.4240000000001,0.29411764705882354,392.24208715884083
2,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,25,369.3680000000001,0.25,382.66415192501364
3,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,41,606.7820000000003,0.8125,490.11497464490367
4,COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,26,383.3760000000001,0.25,436.87634701160994
5,CS(=O)CCCCN=C=S,10,177.294,0.8333333333333334,165.9674123853187
6,COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C,25,359.451,0.3333333333333333,394.5819371617254
7,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,19,273.357,0.13333333333333333,193.58821870203445
8,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,29,404.4910000000001,0.13043478260869565,253.140593588075
9,O=S(Cc1ccccc1)Cc1ccccc1,16,230.332,0.14285714285714285,83.43458750793269
10,CCS(=O)CCSP(=O)(OC)OC,13,246.28999999999996,1.0,206.52141537201516
11,CCCCS(=O)CCCC,10,162.29799999999997,1.0,57.16992500144232
12,CS(=O)CCCCC(=NOS(=O)(=O)O)S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,26,437.5140000000001,0.9166666666666666,525.9375936457667
13,CCCCCCCCS(=O)C(C)Cc1ccc2c(c1)OCO2,22,324.4860000000001,0.6666666666666666,302.37895002019246
14,O=S1CCCC1,6,104.174,1.0,49.16992500144231
15,CS(=O)CC[C@H](N)C(=O)O,10,165.21400000000003,0.8,185.1731812027556
16,C=CC[S@](=O)C[C@H](N)C(=O)O,11,177.22499999999997,0.5,197.34310620419788
17,CCS(=O)c1c(C#N)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N,24,397.209,0.23076923076923078,317.9031679502498
18,O=S(Cc1ccccc1)c1ccccc1,15,216.305,0.07692307692307693,151.01955000865388
19,CS(=O)CC(=O)NC1CCCc2cc(N3CC(c4cc(C(F)(F)F)cc(C(F)(F)F)c4)(C(F)(F)F)OC3=O)ccc21,41,616.5020000000001,0.44,527.1290877740763
20,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2n1S(=O)(=O)c1ccc(C(=O)O)c(OCC(=O)O)c1,42,627.5750000000003,0.2,635.2572549290176
21,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2n1S(=O)(=O)c1ccc(OCCN2CCOCC2)cc1,43,638.6899999999999,0.35714285714285715,586.2051173056824
22,COCCCOc1ccnc(CS(=O)c2nc3ccccc3n2S(=O)(=O)c2ccc(OCC(=O)Nc3ccccn3)cc2)c1C,45,649.7510000000001,0.22580645161290322,671.2602399291551
23,CO[C@@]1(NC(=O)C[S@@](=O)c2cccs2)C(=O)N2C(C(=O)O)=C(CSc3nnc(N(C)C)s3)CS[C@@H]21,35,575.7410000000002,0.42105263157894735,722.3696431408879
24,CCCCc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@](NC(=O)C[S@@](=O)c4cccs4)(OC)[C@H]3SC2)s1,36,588.7800000000001,0.47619047619047616,722.7420807584535
25,CO[C@@]1(NC(=O)C[S@@](=O)c2c(F)cc(F)cc2F)C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@@H]21,34,522.4790000000004,0.3684210526315789,625.696825673162
26,CO[C@@]1(NC(=O)C[S@@](=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,34,544.6620000000003,0.4444444444444444,691.8435743292201
27,CO[C@@]1(NC(=O)C[S@@](=O)c2ccsc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,33,530.6350000000002,0.4117647058823529,687.0134993306624
28,CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@](NC(=O)C[S@@](=O)c3cccs3)(OC)[C@H]2SC1,34,544.6620000000001,0.4444444444444444,689.84357432922
29,CO[C@@]1(NC(=O)C[S@@](=O)c2cccs2)C(=O)N2C(C(=O)O)=C(CSc3nc(C)ns3)CS[C@@H]21,33,546.6990000000003,0.3888888888888889,707.725786951113
30,O=C(c1cc(Cl)c(O)c(Cl)c1)N1CCS(=O)c2ccccc21,22,356.2300000000001,0.13333333333333333,312.41545342930493
31,NS(=O)(=O)c1cccc(-c2c(-c3ccc(F)cc3)nc(C(F)(F)F)nc2N2CCS(=O)C2)c1,33,500.4990000000002,0.2,447.75604915877466
32,CN(C[C@@H](CCN1CCC2(CC1)CS(=O)c1ccccc12)c1ccc(Cl)c(Cl)c1)S(=O)(=O)c1cccc2ccccc12,42,641.6860000000001,0.3333333333333333,545.2671224671989
33,O=C1CS(=O)CN1CCCCN1CCN(c2ccc(F)cc2)CC1,24,353.463,0.5882352941176471,318.9908781884039
34,Cn1nc(C(F)(F)C(F)(F)F)c(C(F)(F)F)c1-n1cc(-c2ccc(Cl)c(C(=O)NC3CCC3CS(C)=O)c2)cn1,40,617.95,0.43478260869565216,564.5577235382577
35,CO[C@@]1(NC(=O)C[S@@](=O)c2ccncc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,34,525.5940000000003,0.3888888888888889,658.1475805161103
36,O=C(O)Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)CS(=O)CC(F)(F)F)[C@H]3SC2)o1,34,544.5110000000001,0.5,655.1641455246263
37,CCS(=O)(=O)c1c(-n2ncc3c(S(=O)CC(F)(F)C(F)(F)F)cccc3c2=O)nc2nc(Br)ccn12,36,614.3720000000001,0.2631578947368421,566.5506962713636
38,CCS(=O)(=O)c1c(-n2ncc3c(S(=O)CC(F)(F)F)cccc3c2=O)nc2nc(Br)ccn12,33,564.3650000000001,0.2222222222222222,536.9359864272484
39,CCS(=O)(=O)c1c(-n2ncc3nc(S(=O)CC(F)(F)C(F)(F)C(F)(F)F)ccc3c2=O)nc2ncc(I)cn12,39,712.367,0.3157894736842105,623.7929684979131
40,CCS(=O)(=O)c1c(-n2ncc3nc(S(=O)CC(F)(F)C(F)(F)F)ccc3c2=O)nc2ncc(I)cn12,36,662.3600000000001,0.2777777777777778,594.1782586537978
41,CCS(=O)(=O)c1c(-n2ncc3nc(S(=O)CC(F)(F)F)ccc3c2=O)nc2ncc(I)cn12,33,612.3530000000002,0.23529411764705882,564.5635488096824
42,CCS(=O)(=O)c1c(-n2ncc3c(S(=O)CC(F)(F)C(F)(F)C(F)(F)F)cccc3c2=O)nc2nc(Cl)ccn12,39,619.9279999999999,0.3,596.1654061154788
43,CCS(=O)(=O)c1c(-n2ncc3c(S(=O)CC(F)(F)C(F)(F)F)cccc3c2=O)nc2nc(Cl)ccn12,36,569.921,0.2631578947368421,566.5506962713636
44,CCS(=O)(=O)c1c(-n2ncc3c(S(=O)CC(F)(F)F)cccc3c2=O)nc2nc(Cl)ccn12,33,519.9140000000001,0.2222222222222222,536.9359864272484
45,CCS(=O)(=O)c1c(-n2ncc3nc(S(=O)CC(F)(F)C(F)(F)C(F)(F)F)ccc3c2=O)nc2ncc(Br)cn12,39,665.367,0.3157894736842105,623.7929684979131
46,CCS(=O)(=O)c1c(-n2ncc3nc(S(=O)CC(F)(F)C(F)(F)F)ccc3c2=O)nc2ncc(Br)cn12,36,615.3600000000001,0.2777777777777778,594.1782586537978
47,CCS(=O)(=O)c1c(-n2ncc3nc(S(=O)CC(F)(F)F)ccc3c2=O)nc2ncc(Br)cn12,33,565.3530000000002,0.23529411764705882,564.5635488096824
48,CCS(=O)(=O)c1c(-n2ncc3ccc(S(=O)CC(F)(F)C(F)(F)C(F)(F)F)cc3c2=O)nc2nc(I)ccn12,39,711.379,0.3,596.1654061154788
49,CCS(=O)(=O)c1c(-n2ncc3ccc(S(=O)CC(F)(F)C(F)(F)F)cc3c2=O)nc2nc(I)ccn12,36,661.3720000000002,0.2631578947368421,566.5506962713636
50,CCS(=O)(=O)c1c(-n2ncc3ccc(S(=O)CC(F)(F)F)cc3c2=O)nc2nc(I)ccn12,33,611.3650000000001,0.2222222222222222,536.9359864272484
51,CCS(=O)(=O)c1c(-n2ncc3c(S(=O)CC(F)(F)C(F)(F)C(F)(F)F)cccc3c2=O)nc2nc(C(F)(F)F)ccn12,42,653.48,0.3333333333333333,602.9727610375364
52,CCS(=O)(=O)c1c(-n2ncc3c(S(=O)CC(F)(F)C(F)(F)F)cccc3c2=O)nc2nc(C(F)(F)F)ccn12,39,603.4730000000002,0.3,573.3580511934211
53,CCS(=O)(=O)c1c(-n2ncc3c(S(=O)CC(F)(F)F)cccc3c2=O)nc2nc(C(F)(F)F)ccn12,36,553.4660000000001,0.2631578947368421,543.743341349306
54,CCS(=O)(=O)c1c(-n2ncc3nc(S(=O)CC(F)(F)C(F)(F)C(F)(F)F)ccc3c2=O)nc2ncc(Cl)cn12,39,620.9159999999999,0.3157894736842105,623.7929684979131
55,CCS(=O)(=O)c1c(-n2ncc3nc(S(=O)CC(F)(F)C(F)(F)F)ccc3c2=O)nc2ncc(Cl)cn12,36,570.9090000000001,0.2777777777777778,594.1782586537978
56,CCS(=O)(=O)c1c(-n2ncc3nc(S(=O)CC(F)(F)F)ccc3c2=O)nc2ncc(Cl)cn12,33,520.9020000000002,0.23529411764705882,564.5635488096824
57,CCS(=O)(=O)c1c(-n2ncc3ccc(S(=O)CC(F)(F)C(F)(F)C(F)(F)F)cc3c2=O)nc2nc(Br)ccn12,39,664.379,0.3,596.1654061154788
