Number,SMILEs,MW,FSP3,Cm,Cluster
5386,C1=CC(=CN=C1)CCC*,0.1165228019582129,0.375,0.0907868010206783,26
11411,C1=C(C=C(C2=C1NC=C2*)F)Br,0.2174934265898519,0.0,0.157439074870579,25
3965,CCCN(CC*)CC1=C(N(N=N1)CCOCCOCCOCCOCCN)C,0.4213996307146264,0.8947368421052632,0.3548733108587282,24
8372,CCC(=O)OCCCOC*,0.1437113832542785,0.8571428571428571,0.1120219870430815,23
6908,CC1=CC(=C(C=C1Cl)*)N,0.1387255957390819,0.1428571428571428,0.1067626858768158,22
849,C1CC(CN(C1)C(C2CCC(CC2)C3=C4C5=CC=NC5=NC=C4C=NN3)*)C(F)(F)F,0.4387188537799557,0.5909090909090909,0.4015599409719712,21
6102,COC1CCN(CC1)C(=O)C2=CC(=C(C=C2)Cl)*,0.2606550139515059,0.4615384615384615,0.1928984744521029,20
2438,CC(C1=CC=C(C=C1)CC(=O)NC2=NC(=C(S2)C(=O)C3=CC=CC=C3Cl)C4=CC(=CC=C4)Cl)*,0.5234848534276342,0.1153846153846153,0.4201897171574433,19
5220,CCC(CC=C)*,0.0762656940846921,0.6666666666666666,0.0632868509875086,18
1853,C1=CC(=C(C(=C1)*)C#N)C#N,0.1240814080690377,0.0,0.1133116838077134,17
7234,CCCCC(C(=O)C(=O)NC1CC1)NC(=O)[C@@H]2CCCN2C(=O)[C@H](C3(CCCCC3)C)NC(=O)NC4(CCCCC4)C*,0.6239346073461259,0.84375,0.5506876307284612,16
1123,COC1CCC(CC1)COC2=C(C=C(C=N2)*)C(F)(F)F,0.2993321110813886,0.6428571428571429,0.2296119433654795,15
1268,C1CC(CN(C1)C(C2CCC(CC2)C3=C4C5=CC=NC5=NC=C4N=CN3)*)COC6=CC=C(C=C6)OC(F)(F)F,0.5715169625516798,0.4827586206896552,0.5087444097947575,14
9829,CC1=C(SC2=C1C=C(C=C2)C(C)C)*,0.1916934713912577,0.3333333333333333,0.139233781327388,13
1711,CCC(C)CCNC*,0.1100385596565516,1.0,0.0769158335229387,12
3746,C1COCCN1C2=NC(=NC(=N2)NC3=CC=C(C=C3)*)Cl,0.3019908352852394,0.3076923076923077,0.2392906300157006,11
262,CCOC1=CC=CC(=C1)C(C)NC2CCC(C2)C3=CC=C(C=C3)CC(=O)NCC*,0.4137953532677845,0.48,0.3471878234958316,10
1052,C1=CC=C(C(=C1)OCC*)Cl,0.1550487487141345,0.25,0.1168139950863839,9
206,CC1=NC2=C(C(=NN2[C@H](C)C3=CC=C(C=C3)C(F)(F)F)[C@@H](C)*)C(=O)N1,0.3657153979821971,0.3529411764705882,0.338475914675721,8
6689,CCOC(=O)C1CC2(CCN(CC2)C3=CC(=NC(=N3)N)O[C@H](C4=C(C=C(C=C4)C5=CCN(CC5)C*)N6C=CC(=N6)C)C(F)(F)F)CN1C(=O)OCC7=CC=CC=C7,0.8425763418129786,0.4390243902439024,0.7497364918249677,7
8069,CS(=O)(=O)C1=CC(=CC=C1)S(=O)(=O)NC2=CC(=CC=C2)*,0.3233497967625549,0.0769230769230769,0.2633201873076684,6
327,C1[C@@H](C2=C(C1=O)C3=C(N2CC4=CC=C(C=C4)Cl)C(=CC(=C3)F)*)CC(=O)O,0.3890414891465335,0.2,0.3168575444555375,5
11103,CC1=CC=C(C=C1)C2=CN(C=C(C2=O)C(=O)NC3=NC(=C(C=C3)C4=C(N=CC(=C4)C5=CC(=C(C=C5)OC)OC)N)C*)CC6CCOCC6,0.6869545265731059,0.2631578947368421,0.5472083461573877,4
1049,C1=CC=C(C=C1)CCNC(=O)C2=CC=CC=C2*,0.2297311698169015,0.1333333333333333,0.1613103492031039,3
2443,CC(C)(C)OC(=O)N1CCC2(C1)CCN(CC2)C*,0.2613563951831965,0.9285714285714286,0.1898708246971994,2
3894,CCC(C)(CC)C1=CC(=CN=C1)*,0.1622822184090282,0.5454545454545454,0.1056397293986612,1
3325,CC1=C(SC(=N1)NC2=NC(=CC(=N2)N3CCN(CC3)C=O)NCC4=CC=C(C=C4)C*)C(=O)O,0.4931721352654488,0.3181818181818182,0.424235158862929,0
