Number,SMILEs,MW,FSP3,Cm
1,CSCC[C@@H](C(=O)*)N,0.12960763972710293,0.8,0.12336299301728164
2,CC1=CC=C(C=C1)N2C(=CC(=N2)Cl)C3=CC=C(C=C3)*,0.2769857788158947,0.0625,0.18682069147290067
3,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2C4=CC=CC=C4OCCOCCN5CCOCC5)C=C(C=C3*)OC(F)F)OC,0.6727376921186508,0.4,0.6610340371128198
4,C1CC(CN(C1)C(C#N)*)C2=C3C(=NN=C4C3=CC=N4)C=CN2,0.3026476325936754,0.375,0.3650458501777813
5,CC1=C(C=CN=C1)*,0.08601652432433612,0.1666666666666666,0.08560890908328535
6,CCOC1=C(C=CC(=C1)C(CC*)N2C(=O)C3=CSC(=C3C2=O)NC(=O)C)OC(F)F,0.46152516164390744,0.35,0.46596900156187293
7,CC(CC1=CC=C(C=C1)O)*,0.13284595493326554,0.3333333333333333,0.09066883213036417
8,CC(C)C1=CC=C(C=C1)*,0.11544843814904951,0.3333333333333333,0.04357682425370535
9,CCOC1(CNC1)C*,0.10999071349500994,1.0,0.0791054213293801
10,COC1=NC2=NC=C3C(=C2C=C1)N(C(=N3)C4CNC4)CC5=CC(=C(C=C5)*)F,0.3799083093558822,0.25,0.38287094912326197
11,C1=CC(=CC=C1CCNC2=NN=C(S2)NC(=O)C3=CC=C(C=C3)C#N)*,0.3647095411770594,0.1111111111111111,0.29428660825330827
12,CCOC(=O)OC(C)OC(=O)[C@H](C(C)(C)COS(=O)(=O)CCC*)O,0.38754629659835577,0.8571428571428571,0.3260144078810959
13,CC1=CC(=CC(=C1F)C#N)NC(=O)C2=C(SC(=C2)*)C,0.28304593014025464,0.1428571428571428,0.2661452564098939
14,CC(C)(C)OC(=O)/N=C(/[C@@H](F)*)\\N,0.17633920318742438,0.7142857142857143,0.150617631773041
15,CCC1=CC(=CC(=C1)OCCCCNC(=O)NNC2=C(C=C(C(=C2)[N+]#[C-])C)COCC*)CC,0.47690878999232356,0.4615384615384615,0.3397879499578686
16,CCC(C)C(CCC(C(C)CC)*)*,0.1688806390507322,1.0,0.07664725790960106
17,CC1=CC(=C(C=C1)N2CCN(CC2)C(C(C(C)C)C(=O)NO)*)C,0.3321197806905943,0.6111111111111112,0.2886895339795537
18,C1=CC2=C(C=C1CC*)C=C(S2)C(=O)NC3=CC(=CC(=C3)C4=C(C=C(C=C4)F)F)Cl,0.4500540444142872,0.0869565217391304,0.3659038629675706
19,COC1=CC=C(C=C1)C2=CC=C(S2)*,0.19164562522971604,0.0909090909090909,0.14157723707602368
20,C1C(=NO[C@]1(C2=CC(=C(C(=C2)Cl)F)Cl)C(F)(F)F)C3=CC4=C(C=C3)C5(CN(C5)C(=O)CC*)OC4,0.5472720076031905,0.391304347826087,0.42307059575185535
21,CCCCOC1=CC=CC(=C1)CC*,0.17860537138408075,0.5,0.11920296101201207
22,C1=CC(=CC=C1CNC2=NNC(=C2C(=O)N)NC3=CC=C(C=C3)*)O,0.33636830235294396,0.0588235294117647,0.26155654831451064
23,CC1=C(C=CC(=C1)N)OC2=CC=C(C=C2)*,0.201417116311844,0.0769230769230769,0.14505652164709704
25,CC1=C(C=CC(=C1)N=NC2=C(C3=C(C(=C(C=C3C(=C2)*)*)N=NC4=C(C=C(C=C4)NC(=O)COCC(=O)O)[N+](=O)[O-])O)N)N=NC5=CC=C(C=C5)C(=O)O,0.7509770403669371,0.088235294117647,0.7037245032785602
26,CNC1(CCC2(CC1)CN(C(=O)N2CC3CCC3)C4=C(C=C(C=C4)C(F)(F)F)C*)C5=CC=CC=C5,0.5127879740847794,0.5357142857142857,0.38395767624475596
27,CN(C)C(=O)C1=CC(=CC=C1)OC2=NC3=C(C(=N2)OC4=CC(=C(C=C4)C#N)N)NC(=O)C(=N3)C*,0.4821838293022947,0.1304347826086956,0.5222682095179567
28,C1=C(C=NN1)C*,0.07402997344538038,0.25,0.07771454984744913
29,C1CC1(C2=C(C=C(C=C2Cl)NC(=O)CC3=CC=C(C=C3)C*)Cl)C4=NOC(=N4)C5=CC(=C(C=C5)F)Cl,0.5619607791964893,0.1923076923076923,0.3935054629747
30,C[C@@H](C1(CCCCC1)NC(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCC(=O)C(=O)NC3CC3)C4(CCCCC4)C)*,0.578175190895311,0.8275862068965517,0.5326598924446229
31,C(ON)(F)(F)*,0.07504235472709206,1.0,0.07588510124653222
32,C1=C(C=C(C=C1F)F)CC*,0.1393204105200661,0.25,0.062465709879282696
33,CC(C1=CC=C(C=C1)CC(=O)NC2=CC(=C(C(=C2)Cl)C3(CC3)C4=NC(=NO4)C5CC5)Cl)*,0.48101268575728556,0.375,0.3468840094401751
34,COC1=C(C=C(C=C1)C2=C(CCC2)C3=CC=C(C=C3)C*)Cl,0.3096799309275415,0.2631578947368421,0.18609051203297985
