Number,SMILEs,MW,FSP3,Cm,Cluster
1626,C1=CC=C(C=C1)CONC(=O)C2=NN(C3=CC=CC=C32)CC4=CC=C(C=C4)*,0.3734023187989747,0.0909090909090909,0.297081640132434,26
1902,CC1=CC(=C(N1C2=CC(=CC=C2)OCCC*)C3=CC=CC=C3)C(=O)N4CCNCC4CC5=CC=CC=C5,0.5215492587107204,0.28125,0.4270560620978421,25
228,C1CC1CC2=C(C(=NN2C3=NC(=CS3)C(=O)O)C4=CC(=C(C=C4)F)C5=CC(=CC=C5)F)CC6=CC(=CC=C6)*,0.5584614849273722,0.1666666666666666,0.4717103326527093,24
1835,CC1C(/C(=C/N(C2=C(C=C(C=C2)C3=CC(=C(C(=C3)*)CO)F)N4C(=CN=N4)C5=CC=C(C=C5)OC(F)(F)F)C(=C)C)/N1C)(F)F,0.6541342345810309,0.2258064516129032,0.5506626329156564,23
2712,CCC1(CC2=C(C1)C(=C3C=C(N=CC3=C2)C4CC4)*)C,0.2580930694835008,0.5,0.2037907489440031,22
9422,CN(C)CC1=CC(=CC=C1)*,0.1317759407751513,0.3333333333333333,0.0924495093351178,21
4101,COC1=CC=CC(=C1)CN2CCN(CC2)C3CCN(C3=O)C4=CC=C(C=C4)*,0.3821712153142516,0.4090909090909091,0.3207388464841553,20
1265,COC(=O)C1=C(C(=CC(=C1)Cl)*)Cl,0.2077099739673386,0.125,0.1553180239487273,19
3093,CC1=NC=C(C=N1)C2=CC3=C(C=C2)C4(CCC4)C(=O)N3C5=CN=CC(=C5)C*,0.3723323046408604,0.2727272727272727,0.3090411478765022,18
1143,CC(C)(C)[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC2CC2)C(=O)C(=O)NC3CC3)NC(=O)NC4(CCCCC4)C*,0.5781751908953109,0.8275862068965517,0.5318285382874032,17
8358,C[C@H]1CN([C@H](CN1C*)CC2=CC=C(C=C2)Cl)C3CCN(CC3)C(=O)OCC=C,0.4262038202985171,0.5909090909090909,0.3745410886347098,16
5220,CCC(CC=C)*,0.0762656940846921,0.6666666666666666,0.0632868509875086,15
5908,C1=CC(=CC(=C1)F)C2=C(C=NC=C2)C3=CC(=C(C=C3)C*)F,0.290641508284998,0.0555555555555555,0.2292488145598852,14
1066,C1=CC(=CC(=C1)[N+](=O)[O-])C*,0.1338724725808872,0.1428571428571428,0.1051128499066594,13
1085,CC(C)(C#CC1=NC(=C(C=C1)C2=C3C(=C(C=C2)Cl)C(=NN3C)N)[C@H](CC4=CC(=CC(=C4)F)F)NC(=O)CN5C6=C([C@H]7C[C@H]7C6(F)F)C(=N5)C(F)(F)F)C8(CC8)*,0.8374742011322145,0.3846153846153846,0.6786509523754426,12
9734,CC(C)(C)OC(=O)N1CC(C1)*,0.1557022837842834,0.875,0.1146535985405803,11
2041,C1CCN(CC1)/C=C/C=C(\\C#N)/*,0.1611643580893723,0.5,0.1092892008282836,10
10750,C1CN(CC2=C1C=CC(=C2)*)C(=O)C(F)(F)F,0.2339829537175381,0.3636363636363636,0.1868305742171138,9
934,C1CC1C2=C(C(=NO2)C3=C(C=CC=C3Cl)Cl)CO[C@@H]4C[C@@H]5C[C@H]4CN5C6=NC=C(C=C6)C(=O)NC7(CC7)*,0.5713658121777186,0.4642857142857143,0.5233909219575306,8
4762,CC(C)C(C(N1CCC2(CC1)OCCO2)*)C(=O)OC(C)(C)C,0.325583342576342,0.9411764705882352,0.2320432445151294,7
6419,C1=CC(=C(C(=C1N)O)*)Cl,0.1408699737063594,0.0,0.1219559879718967,6
9978,C1CNCCC1(C2=NC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=C(C6=CC=CC=C65)*)N=C3)O,0.4430956901482583,0.1923076923076923,0.379440435948352,5
1052,C1=CC=C(C(=C1)OCC*)Cl,0.1550487487141345,0.25,0.1168139950863839,4
5837,CC(C)(CO)NCC*,0.1121829376238292,1.0,0.0765754598058406,3
6077,COCCN(CC1=CC2=C(S1)C(=NC(=N2)C3=C4C=NNC4=CC=C3)N5CCOCC5)C*,0.4616393399839503,0.4090909090909091,0.4247620383549307,2
10494,COCCCNCC1(OCCO1)C2=C(SC=C2)*,0.264597972627646,0.6666666666666666,0.2041311226611012,1
607,C1C(C2=C(CN1)C(=CC(=C2)Cl)Cl)C3=CC(=CC=C3)*,0.2872455182283002,0.2,0.2173809290936832,0
