Number,SMILEs,MW,FSP3,Cm
1,CSCC[C@@H](C(=O)*)N,132.20799999999997,0.8,132.78789104687075
2,CC1=CC=C(C=C1)N2C(=CC(=N2)Cl)C3=CC=C(C=C3)*,267.73900000000003,0.0625,196.14795065152714
3,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2C4=CC=CC=C4OCCOCCN5CCOCC5)C=C(C=C3*)OC(F)F)OC,631.6780000000006,0.4,669.6316504437991
4,C1CC(CN(C1)C(C#N)*)C2=C3C(=NN=C4C3=CC=N4)C=CN2,291.33799999999997,0.375,374.0988841617967
5,CC1=C(C=CN=C1)*,92.121,0.16666666666666666,95.09189723376086
6,CCOC1=C(C=CC(=C1)C(CC*)N2C(=O)C3=CSC(=C3C2=O)NC(=O)C)OC(F)F,437.44400000000013,0.35,474.8667506746043
7,CC(CC1=CC=C(C=C1)O)*,135.18599999999998,0.3333333333333333,100.14403485709599
8,CC(C)C1=CC=C(C=C1)*,119.18699999999995,0.3333333333333333,53.124484848442165
9,CCOC1(CNC1)C*,114.168,1.0,88.59841603677455
10,COC1=NC2=NC=C3C(=C2C=C1)N(C(=N3)C4CNC4)CC5=CC(=C(C=C5)*)F,362.3880000000001,0.25,391.89655661338173
11,C1=CC(=CC=C1CCNC2=NN=C(S2)NC(=O)C3=CC=C(C=C3)C#N)*,348.4110000000001,0.1111111111111111,303.44851556939574
12,CCOC(=O)OC(C)OC(=O)[C@H](C(C)(C)COS(=O)(=O)CCC*)O,369.41200000000015,0.8571428571428571,335.1274973866636
13,CC1=CC(=CC(=C1F)C#N)NC(=O)C2=C(SC(=C2)*)C,273.312,0.14285714285714285,275.3504632676508
14,CC(C)(C)OC(=O)/N=C(/[C@@H](F)*)\\N,175.183,0.7142857142857143,160.00059459734726
15,CCC1=CC(=CC(=C1)OCCCCNC(=O)NNC2=C(C=C(C(=C2)[N+]#[C-])C)COCC*)CC,451.59100000000035,0.46153846153846156,348.87984687601516
16,CCC(C)C(CCC(C(C)CC)*)*,168.32399999999996,1.0,86.14403485709603
17,CC1=CC(=C(C=C1)N2CCN(CC2)C(C(C(C)C)C(=O)NO)*)C,318.441,0.6111111111111112,297.8600532042692
18,C1=CC2=C(C=C1CC*)C=C(S2)C(=O)NC3=CC(=CC(=C3)C4=C(C=C(C=C4)F)F)Cl,426.8950000000001,0.08695652173913043,374.95557677476046
19,COC1=CC=C(C=C1)C2=CC=C(S2)*,189.259,0.09090909090909091,150.97410985565367
20,C1C(=NO[C@]1(C2=CC(=C(C(=C2)Cl)F)Cl)C(F)(F)F)C3=CC4=C(C=C3)C5(CN(C5)C(=O)CC*)OC4,516.2980000000002,0.391304347826087,432.034350269027
21,CCCCOC1=CC=CC(=C1)CC*,177.26699999999994,0.5,128.63425985276905
22,C1=CC(=CC=C1CNC2=NNC(=C2C(=O)N)NC3=CC=C(C=C3)*)O,322.348,0.058823529411764705,270.7688155636265
23,CC1=C(C=CC(=C1)N)OC2=CC=C(C=C2)*,198.245,0.07692307692307693,154.4480410439861
24,CC1([C@@H](N(CS1(=O)=O)C(=O)/C=C(/C2=CC=CC=N2)\\*)C(=O)O)C,323.3500000000001,0.35714285714285715,341.66707832976795
25,CC1=C(C=CC(=C1)N=NC2=C(C3=C(C(=C(C=C3C(=C2)*)*)N=NC4=C(C=C(C=C4)NC(=O)COCC(=O)O)[N+](=O)[O-])O)N)N=NC5=CC=C(C=C5)C(=O)O,703.6280000000002,0.08823529411764706,712.2564311503293
26,CNC1(CCC2(CC1)CN(C(=O)N2CC3CCC3)C4=C(C=C(C=C4)C(F)(F)F)C*)C5=CC=CC=C5,484.5860000000001,0.5357142857142857,392.9816116479573
27,CN(C)C(=O)C1=CC(=CC=C1)OC2=NC3=C(C(=N2)OC4=CC(=C(C=C4)C#N)N)NC(=O)C(=N3)C*,456.44200000000023,0.13043478260869565,531.0793341531429
28,C1=C(C=NN1)C*,81.098,0.25,87.20968461186798
29,C1CC1(C2=C(C=C(C=C2Cl)NC(=O)CC3=CC=C(C=C3)C*)Cl)C4=NOC(=N4)C5=CC(=C(C=C5)F)Cl,529.8060000000002,0.19230769230769232,402.51470772651885
30,C[C@@H](C1(CCCCC1)NC(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCC(=O)C(=O)NC3CC3)C4(CCCCC4)C)*,544.7170000000003,0.8275862068965517,541.455027972022
31,C(ON)(F)(F)*,82.029,1.0,85.3830508823321
32,C1=C(C=C(C=C1F)F)CC*,141.14000000000001,0.25,71.98430719039389
33,CC(C1=CC=C(C=C1)CC(=O)NC2=CC(=C(C(=C2)Cl)C3(CC3)C4=NC(=NO4)C5CC5)Cl)*,455.36500000000024,0.375,355.96498804405763
34,COC1=C(C=C(C=C1)C2=C(CCC2)C3=CC=C(C=C3)C*)Cl,297.80499999999995,0.2631578947368421,195.4188946983266
35,CCC(C1=CC=C(O1)C)N=C(C(=C(C(=O)OCC)*)NC2=C(SC(=C2O)S(=O)(=O)N(CC)CC)C)N,525.6730000000001,0.4782608695652174,505.52345940269777
36,CC1=NC=CC(=C1)C2=CC=C(S2)C=C(C*)OC=O,258.322,0.14285714285714285,243.62122224674164
37,C=CCCCS(=O)(=O)CCN(CO)C*,220.31399999999994,0.7777777777777778,167.83049092858366
38,CCC1=C(C(=CC=C1)*)CC,133.21399999999997,0.4,91.12448484844215
39,C1CC1CC*,69.12700000000001,1.0,36.78463484555752
40,C1=CC(=CC=C1/C(=C/N)/C=N)*,145.185,0.0,95.92197223231854
41,CC1(C(=O)N(C(=O)O1)CC*)C,156.16099999999997,0.7142857142857143,179.73575342353556
42,C1CCC2(C1)CNC(=O)C3N2C4=NC(=NC=C4C=C3)C*,269.32800000000003,0.5333333333333333,308.4680655780494
43,CC1=CC2=C(C=CC(=C2)Br)C=C1N*,235.10399999999998,0.09090909090909091,153.01061326476614
44,C1CC1(C2=C(C=C(C=C2Cl)NC(=O)CC3=CC=C(C=C3)C*)Cl)C4=NOC(=N4)C5=CC=C(C=C5)F,495.36100000000016,0.19230769230769232,353.7300728809614
45,C1=CC=C(C=C1)C2=C(C=NC=C2)C3=CC(=C(C=C3)C*)F,262.30699999999996,0.05555555555555555,194.14119458580876
46,COC1=C(C(=C(C=C1)OC)*)OC,167.18399999999997,0.3333333333333333,170.97410985565367
47,COC(=O)C1CC(C(C1)C(C(F)(F)*)(F)F)C(=O)OC,285.21299999999997,0.8181818181818182,252.3930045539803
48,CC(C(CN=C/C(=C\\N=C)/C)OC)*,181.25899999999996,0.6,185.52974094300677
49,CC1=CC(=CC(=C1CC*)C)N(C)C(=O)OC(C)(C)C,262.373,0.5625,172.73575342353556
50,C1=CC(=NN=C1*)Cl,113.52699999999999,0.0,128.8243944559832
51,CC(C1=CC=C(C=C1)*)C(F)(F)F,173.15699999999995,0.3333333333333333,91.88639961749955
52,CCCCCCCOC1=CC=CC(=C1)C(=O)NC2=CC=CC=C2*,310.41700000000003,0.35,261.77159723953014
53,CC(CC=C)C*,83.15400000000001,0.6666666666666666,57.29440984988447
54,C=C(C*)C(=O)N(CCN1C2=NC=NC(=C2C(=N1)C3=CC(=C(C=C3)F)O)N)C4=CC=CC=C4,431.45100000000014,0.13043478260869565,422.75293768631167
55,CC(C)(CCN1C2=C(C=C(C=C2)*)C3(C1=O)OCCCO3)O,290.339,0.5625,256.24552842786255
56,C1=CC(=C(C=C1F)C(=O)N)*,138.12099999999998,0.0,140.5529758837744
57,C1CC(CCC1CNC2NC(NC(N2)OCC(F)(F)F)NC3CCC(C(C3)Cl)F)*,444.9250000000001,1.0,498.6912312640545
58,C=C(/C=C\\C(=C)[N+](=O)[O-])N/N=C(\\C*)/C=N,207.21300000000002,0.1111111111111111,192.12495937385148
59,C1=CN(N=C1)C2=C(C=C(C=C2)*)C#N,168.17899999999997,0.0,185.85679700295594
60,C1=CC(=CC=C1*)I,203.00199999999998,0.0,57.56926969111504
61,CC=CC*,55.1,0.5,33.954559846999835
62,C1CN(CCN1C*)C2C3CC4CC(C3)CC2C4,233.37899999999993,1.0,151.2292346205218
63,CC(CO)*,59.088,1.0,67.8041848542114
64,CC(C)S(=O)C*,105.182,1.0,119.12448484844214
65,CC1=CC=C(C=C1)C(C(=O)N)*,148.18499999999997,0.2222222222222222,128.78789104687075
66,CCCN1CCN(CC(=C1*)C2=CCCC=C2)NC(CCC(C)C3=C4C=CC(=CC4N=C3)C(F)(F)F)O,501.6170000000002,0.5357142857142857,475.42271155851637
67,CCOC1=CC=CC=C1C(=O)*,149.16899999999995,0.2222222222222222,141.8041848542114
68,C1=CC(=C(C2=C1SC(=O)N2)N=NCC(=O)O)*,236.23199999999997,0.1111111111111111,278.34702199862903
69,C1=CC=C(C=C1)COC2=C(N=C(C=C2)*)[N+](=O)[O-],229.21499999999997,0.08333333333333333,204.11820330813308
70,CCC(C1CCN(C2=CCCCC12)N3CCCC(C3)C)C(=O)*,303.47,0.8421052631578947,318.31769058526095
71,C1CN(CCC1OC2=CC(=C(C=C2)Cl)Cl)CCCNC(=O)C3=CNC(=O)C4=C3C=CC(=C4)*,473.3800000000003,0.3333333333333333,411.4260666940711
72,C1=CC(=CC(=C1)S(=O)(=O)N=[N+]=[N-])*,182.184,0.0,126.01670973736661
73,CC1=CC(=C2C(=C(C(=C(C2=C1)*)C)C)C)C,197.301,0.3333333333333333,137.9545598469998
74,C1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)*,224.305,0.45454545454545453,146.5853784307471
75,CC(C(F)(F)F)OC(=O)N1CCC2(CCCN2CC3=C(C(=CC=C3)N4CCN(CC4)C*)Cl)CC1,502.00100000000043,0.7083333333333334,434.01461519266445
76,C[C@](CCC1=NC2=C(S1)C=C(C=C2)C#CC#C[C@@H]3CCN3C)(C*)C(=O)NO,380.49300000000017,0.42857142857142855,399.82420938827465
77,C1=CC(=C(C2=C1C(=CN2)*)C(F)(F)F)Cl,218.58499999999995,0.1111111111111111,173.61889683972194
78,C1=CC=C2C(=C1)C=CC=C2C(*)(I)I,392.98499999999996,0.09090909090909091,133.41889469832657
79,CC(C)C(C(N1CCN(CC1)C2=CC=C(C=C2)C3=CN=CC=C3)*)C(=O)NO,367.47300000000007,0.42857142857142855,333.337240593915
80,C1(=C(SC(=N1)Br)*)Br,241.915,0.0,166.8115419176643
81,C1=CC=C(C=C1)CC(C*)Cl,153.63199999999998,0.3333333333333333,98.17378220049007
82,CCC1=CN=C(N1)C2=NC=CC(=C2)C3=CN=CC(=C3)C*,263.32400000000007,0.1875,272.65428438683233
83,CCCOC(=O)CCCCCC*,171.25999999999993,0.9,113.12448484844215
84,CCC(CC)(CC)CC*,127.25099999999999,1.0,43.61470984411521
85,CC1(CC(=NO1)C(C2=NN(N=C2C(F)(F)F)C)*)C,261.227,0.7,280.7039115354393
86,CC1=C(C(=NO1)C2=CC=CC=C2)C3=NN=C(O3)C4=C(C=C(C=C4)C*)OC,346.3660000000001,0.15,355.93524070066354
87,C1CC2CC1C3C2C4CC3CC4C(=O)C(F)(F)*,239.28499999999994,0.9285714285714286,258.9677697199614
88,C1=CC(=CC(=C1)*)C2=CC(=C(C(=C2)F)N3C=C(N=C3)C(F)(F)F)N4C(=CN=N4)C5=C(C=C(C=C5)Cl)Cl,517.2930000000001,0.041666666666666664,468.38137226765593
89,CC(C)(*)Br,121.985,1.0,49.22941968823042
90,C[C@H](CNC(=O)C1=CNC(=O)C2=C1C=CC(=C2)*)CN3CCC(CC3)OC4=CC(=C(C=C4)Cl)Cl,487.40700000000027,0.36,443.2756917012826
