Number,SMILEs,NumAtoms,MW,FSP3,Cm
1,*C(F)(F)F,5,69.00500000000001,1.0,38.03677461028804
2,*c1ccccc1,7,77.106,0.0,39.539522347721004
3,Cc1ccc(*)cc1,8,91.133,0.14285714285714285,45.95455984699985
4,*CO,3,31.034,1.0,28.78463484555752
5,C=Cc1ccc(*)cc1,9,103.14399999999998,0.0,54.12448484844216
6,C=C/C=C\*,5,53.083999999999996,0.0,37.29440984988446
7,C*,2,15.035,1.0,9.614709844115207
8,CO[C@H](c1ncc(C)cn1)[C@H](C)*,13,165.21599999999998,0.5555555555555556,167.96107224962626
9,C/C(=C(/C)*)c1ncc(C)cn1,12,147.201,0.3333333333333333,101.58212222943393
10,*C(F)(F)C(F)(F)OC(F)(F)C(F)(F)*,15,216.02699999999996,1.0,107.2434742220181
11,CCCCCCCCCCCCCCCCOC(=O)c1cc(C(=O)OCCCCCCCCCCCCCCCC)cc(*)c1,45,613.9880000000002,0.8,187.87937235060568
12,O=C(O)C(O)*,6,75.043,0.5,111.65380986142296
13,*c1ccc(Cl)cc1,8,111.55099999999999,0.0,57.56926969111504
14,CC(NC(C)*)*,7,71.123,1.0,78.78789104687075
15,*C(F)(F)C(F)(F)OC(F)(F)C(F)(F)I,15,342.9309999999999,1.0,192.02810906757577
16,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,26,419.0539999999999,1.0,249.33974351909484
17,CC(N)*,4,44.077,1.0,76.78789104687075
18,*CNC*,5,43.068999999999996,1.0,30.258566033889934
19,*CN(C*)C*,7,56.088,1.0,43.235845957389856
20,CC(N(C(C)*)C(C)*)*,10,98.169,1.0,116.029833476861
21,CC*,3,29.061999999999998,1.0,19.614709844115207
22,*Cc1ccccc1,8,91.13299999999998,0.14285714285714285,43.539522347721004
23,C=CC(C)=C*,6,67.11099999999999,0.2,44.12448484844215
24,*C(Cl)(Cl)Cl,5,118.37,1.0,38.03677461028804
25,COc1ccc(*)cc1,9,107.13199999999998,0.14285714285714285,70.29440984988445
26,O=C(O)c1ccc(*)cc1,10,121.11499999999997,0.0,80.29440984988445
27,*C(CS(=O)(=O)O)OCCO,11,169.17799999999997,1.0,170.258322370798
28,CC(=O)Nc1ccc(*)cc1,11,134.158,0.125,110.41219722799157
29,*C(F)(F)C(F)(F)F,8,119.01200000000001,1.0,71.65148445440323
30,*C(F)(F)C(F)(F)C(F)(F)F,11,169.01899999999998,1.0,101.26619429851846
31,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,14,219.02599999999995,1.0,130.88090414263363
32,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,20,319.0399999999999,1.0,190.11032383086396
33,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)*,20,300.0419999999999,1.0,123.30296890880598
34,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,26,435.5089999999999,1.0,272.1470984411524
35,*C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)I,21,442.94499999999994,1.0,251.25752875580645
36,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(*)cc2)cn1,21,279.75,0.058823529411764705,229.0138694660794
37,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)*,26,400.0559999999999,1.0,158.53238859703632
38,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(*)cc2)cc1,23,301.291,0.11764705882352941,202.95530557358487
39,CC(C)*,4,43.089,1.0,21.95455984699983
40,NCC*,4,44.07699999999999,1.0,34.258566033889934
41,CC(CO)*,5,59.088,1.0,67.8041848542114
42,*C(F)F,4,51.015,1.0,32.739194692557355
43,*C(Cl)Cl,4,83.92500000000001,1.0,32.739194692557355
44,CC(C)(O)*,5,59.08800000000001,1.0,48.78463484555752
45,*c1ccccc1-c1ccccc1O,14,169.20299999999997,0.0,140.14403485709602
46,COC(=O)c1ccccc1*,11,135.14199999999997,0.125,119.80418485421139
47,CCOC(=O)CCc1ccc(*)cc1,14,177.223,0.36363636363636365,115.46433485132675
48,Cc1ccc(O)c(-c2cc(C)ccc2*)c1,16,197.257,0.14285714285714285,153.8041848542114
49,COC(=O)c1cc(C(=O)OC)cc(*)c1,15,193.178,0.2,93.8793723506056
50,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,14,235.48099999999997,1.0,153.68825906469115
51,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)*,14,200.02799999999996,1.0,88.07354922057588
52,*C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)*,21,316.04099999999994,1.0,251.25752875580645
53,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)*,32,500.06999999999994,1.0,193.76180828526665
54,COc1ccc(Cl)cc1C(=O)NCCc1ccc(*)cc1,21,288.754,0.1875,223.8765320793184
55,CCCCN(CCCC)S(=O)(=O)c1ccc(*)cc1C(F)(F)F,23,336.399,0.6,211.1773681983623
56,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1*,28,357.4410000000001,0.19047619047619047,381.19712153125
57,C=C*,3,27.045999999999996,0.0,22.95455984699983
58,CCC*,4,43.08899999999999,1.0,25.614709844115207
59,*CF,3,33.025,1.0,29.229419688230415
60,*CCO,4,45.061,1.0,34.78463484555752
61,C=CC*,4,41.07299999999999,0.3333333333333333,27.78463484555752
62,CC(O)*,4,45.061,1.0,77.31395985853834
63,CCCC*,5,57.11599999999999,1.0,31.614709844115207
64,CCC(O)*,5,59.088,1.0,83.31395985853834
65,CC(C)(C)*,5,57.116,1.0,24.614709844115207
66,CCCCC*,6,71.143,1.0,37.61470984411521
67,N=C(N)*,4,43.049,0.0,52.90242222366466
