Number,SMILEs,MW,FSP3,Cm,Cluster
10222,C1=C(C=C(C(=C1*)NC2=NC=NC=N2)Cl)Cl,0.2469014173337945,0.0,0.184922705987394,26
1064,CC(C)C1=C(C=C(C=N1)/C=N/OCC(F)(F)F)*,0.2525026804724592,0.4545454545454545,0.1983254481335083,25
11878,CC(C)[C@@H](C(=O)C(F)(F)F)NC(=O)[C@@H]1C[C@H](CN1C(=O)[C@H](CC2=CC=C(C=C2)CNC(=O)OC(C)(C)C)NC(=O)C3=CC(=CC=C3)Cl)C(C4=CC=C(C=C4)OC)*,0.8560939698612685,0.4390243902439024,0.7180927700172032,24
426,CC(C1=CC=C(C=C1)CC(=O)NC2=CC(=C(C(=C2)Cl)C3(CC3)C4=NOC(=N4)C5=CC=C(S5)Cl)Cl)*,0.5642073739634242,0.24,0.4281335083990041,23
474,CN1C=C(C=N1)C2=CN3C(=C(C=N3)Cl)C(=C2)C4=CN=C(C=C4)N5CCN(CC5)C*,0.4283123136446383,0.2857142857142857,0.3864388259711108,22
6458,CC1=CC(=C(C=C1OC)C)C2=CC(=NC(=N2)N)NCCC3=CC=C(C=C3)*,0.3636558382103799,0.238095238095238,0.2778036093935951,21
5778,C1=CC=C(C(=C1)N=C(C=C(C(F)(F)F)N)C2=CC=C(S2)*)Cl,0.3444216812706203,0.0714285714285714,0.267248719018723,20
3660,CC(=O)C1=CC(=C(C=C1)S)*,0.1502706570365393,0.125,0.1160281511061566,19
11293,C1CC(=O)C(C(=O)C1)C(=O)C2=C(C=C(C=C2)*)[N+](=O)[O-],0.2688149593198887,0.3076923076923077,0.1885811279325674,18
7234,CCCCC(C(=O)C(=O)NC1CC1)NC(=O)[C@@H]2CCCN2C(=O)[C@H](C3(CCCCC3)C)NC(=O)NC4(CCCCC4)C*,0.6239346073461259,0.84375,0.5506876307284612,17
8062,CC1=CC(=CN=C1N(C)C)*,0.1328503045843148,0.375,0.1149417542894435,16
6715,C#CCOCCC*,0.0914709867400888,0.6666666666666666,0.0640233216476911,15
1822,CCCCC(CC(C)CC*)N1CCC(CC1)O,0.2472689628474557,1.0,0.1742746591821119,14
8372,CCC(=O)OCCCOC*,0.1437113832542785,0.8571428571428571,0.1120219870430815,13
1298,CCOC1=C(C=CC(=C1)C(CC*)N2C(=O)C3=C(C2=O)C(=CC=C3)NC(=O)C4CCCC4)OC,0.4746643700509131,0.4230769230769231,0.4408057994860964,12
4101,COC1=CC=CC(=C1)CN2CCN(CC2)C3CCN(C3=O)C4=CC=C(C=C4)*,0.3821712153142516,0.4090909090909091,0.3207388464841553,11
11643,CCCN(CC*)CC1=C(N(N=N1)CCOCCOCCOCCN)C,0.3734958362965335,0.8823529411764706,0.3164743785424159,10
4052,CC(C)CC(NC(=O)C1=CC(=C(C=C1)N2C[C@@H]3C[C@H]2C[C@H]3OCC4=C(ON=C4C5=C(C=CC=C5Cl)Cl)C6CC6)F)*,0.6225525057252287,0.4838709677419355,0.5679759950182468,9
1835,CC1C(/C(=C/N(C2=C(C=C(C=C2)C3=CC(=C(C(=C3)*)CO)F)N4C(=CN=N4)C5=CC=C(C=C5)OC(F)(F)F)C(=C)C)/N1C)(F)F,0.6541342345810309,0.2258064516129032,0.5506626329156564,8
7355,C1=CC(=CC(=C1)*)NC=S,0.1339475040614867,0.0,0.1148237853991294,7
8927,COC1=NC(=CC(=C1)COC2=CC=C(C=C2)*)Cl,0.2562705656938673,0.1538461538461538,0.206920048672866,6
899,CCC(C1=CC=CC=C1C(C)C)*,0.1612078545998647,0.5,0.1090369441313005,5
3834,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)C*,0.2766084465873726,0.631578947368421,0.2315653217721917,4
8358,C[C@H]1CN([C@H](CN1C*)CC2=CC=C(C=C2)Cl)C3CCN(CC3)C(=O)OCC=C,0.4262038202985171,0.5909090909090909,0.3745410886347098,3
10360,CC1=C(C=C(C=C1)C*)[N+](=O)[O-],0.1491256113978256,0.25,0.1119534501584919,2
12056,CCOC1=CC(=C(C=C1)S(=O)(=O)NC2=C(C=C(C=C2)OC)C3=CC=CC=C3*)[N+](=O)[O-],0.4506662577994684,0.1428571428571428,0.3853643509853601,1
1711,CCC(C)CCNC*,0.1100385596565516,1.0,0.0769158335229387,0
